Subject;RT;response;accuracy
165276;566,8;s;0
165276;571,0999999;s;1
165435;584,7;s;1
165276;589,7;s;1
165276;599;s;1
165435;605,4000001;s;0
165435;607,5;s;0
165435;616,2;s;1
165276;633,8;l;1
165435;638,5;s;1
165435;639,5999999;s;1
165435;660,1000001;s;1
165435;666,5;s;1
165435;668,2;s;1
165435;668,9000001;s;1
165435;673,8999999;s;1
165276;680,9;s;1
165276;681,3000001;l;1
165435;687,8;l;1
165435;687,8;s;1
165435;691,8999999;l;0
165276;698,0999999;s;1
165276;707,4;s;1
165276;712,5;s;1
165435;716,3999999;s;1
165435;717,4000001;s;1
165435;718,3999999;s;1
165276;723,5999999;l;1
165435;724,7;s;1
165435;726,2;s;0
165276;727,4;s;1
165276;729,5;s;1
165435;737,8999999;s;1
165435;738,3999999;s;1
165435;740,5999999;s;0
165435;741,3;l;1
165435;743,2;s;1
165435;743,5;s;1
165435;746,7;s;1
165276;749,6;s;0
165435;758,9000001;l;1
165276;760,3000001;l;0
165276;761;l;1
165435;763,8;s;1
165276;765,1;s;1
165435;765,6000001;s;1
165276;769,1999999;s;1
165435;770;l;1
165435;777,5;s;1
165276;779,4000001;s;1
165276;782,6;l;1
165276;782,9;s;1
165276;787;s;1
165276;787,5;s;1
165435;788,8000002;s;1
165276;789,1;s;1
165276;790,5;s;1
165276;791,1;s;1
165435;793,7;s;1
165276;795,3000001;l;1
165276;796,4;l;1
165276;797,4000001;l;0
165276;797,9;l;1
165435;798,4000001;s;1
165276;799,9;s;1
165435;805;s;1
165276;805,4000001;l;1
165276;813,2;s;1
165276;816;l;1
165435;818,8;s;1
165435;819;s;1
165435;820,8999999;l;0
165276;822,7;s;1
165435;827,0999999;s;1
165276;827,6999999;s;1
165276;827,9;l;1
165435;833,2;s;1
165435;833,3;l;0
165435;836;l;1
165276;836,1999999;l;1
165435;839,2;l;1
165435;843,2;l;1
165276;845;s;1
165435;845;s;1
165435;850,7;s;1
165276;858,5999999;l;1
165435;860,3;l;1
165276;863,3000001;s;1
165276;863,5;l;1
165276;865,1;l;1
165276;865,9;s;1
165435;866,3;l;0
165276;867,9;s;1
165276;868,4;l;1
165435;868,4000001;s;1
165276;871,2;s;1
165435;873,7;s;1
165276;875,5;s;1
165435;879,5;l;0
165435;880,7;s;1
165435;882,5;s;1
165276;883,5;s;1
165435;888,5;s;1
165435;889,3999999;s;0
165276;889,5;s;1
165435;889,9000001;l;1
165435;890,3999999;s;1
165435;891,8;l;1
165435;896,3;l;1
165435;897,4000001;l;1
165435;898,0999999;s;1
165435;899,6000001;s;1
165276;913,8000001;l;1
165435;916;l;1
165435;918,1000001;l;1
165435;919,6000001;l;1
165276;922,1;s;1
165435;927,3999999;l;1
165435;928,8;s;1
165435;930,7;s;1
165276;937,6;s;1
165435;939,3;l;1
165276;943,1999999;s;1
165276;945,4;s;1
165276;949;l;1
165435;952,2;s;1
165435;952,7;s;1
165276;953,4000001;s;1
165276;954,6;l;1
165435;954,6000001;s;1
165435;966,5;l;1
165435;972,4000001;s;1
165276;972,6;s;1
165435;973,2;s;0
165435;973,3;s;1
165435;976,7;l;1
165276;978,3;s;1
165435;979,8;s;1
165435;980;l;1
165435;981,7;l;1
165276;982,6;s;1
165435;986,2;l;0
165276;986,3000001;s;1
165276;991,6;s;1
165435;996,5;s;0
165435;996,8;s;1
165276;997,2;l;0
165276;998;l;1
165276;1009;s;0
165435;1011,9;l;1
165276;1015;s;1
165276;1019,9;s;1
165276;1021,2;l;1
165276;1026,3;s;1
165435;1033,1;s;1
165276;1037;s;1
165435;1039,3;s;1
165435;1045;s;1
165435;1045,7;s;1
165435;1047,4;l;1
165435;1048,7;l;1
165276;1048,8;s;1
165276;1049,7;s;1
165276;1060,7;s;1
165276;1061,4;s;1
165276;1073,7;l;1
165276;1075,7;s;1
165435;1081,4;s;1
165435;1086,5;s;1
165276;1090,8;l;1
165435;1099,8;s;1
165435;1102,4;s;1
165276;1105,5;s;0
165435;1107,4;l;1
165276;1107,5;l;0
165276;1108,6;l;1
165276;1109,3;l;1
165276;1109,5;s;1
165435;1110;s;1
165276;1124,3;l;1
165435;1125,5;s;1
165435;1130,8;s;1
165435;1131,3;l;1
165435;1134,9;l;1
165276;1140,1;l;1
165435;1144;l;1
165276;1146,2;s;1
165276;1148,4;l;0
165435;1148,7;l;1
165435;1151,2;l;0
165276;1155,3;l;1
165276;1167,5;s;99999
165276;1174,6;s;0
165276;1177,7;s;1
165435;1178,2;s;1
165435;1184;l;1
165435;1184,1;l;1
165435;1184,6;l;1
165276;1187;l;1
165276;1188,5;s;1
165276;1199;s;1
165435;1199,3;s;1
165276;1203,1;s;1
165435;1209,5;s;1
165276;1223,5;s;1
165435;1223,8;l;1
165276;1224,8;l;1
165435;1226,7;l;1
165435;1229,3;l;1
165276;1245,2;l;1
165276;1255,9;s;1
165276;1265,2;l;1
165276;1266,9;s;1
165276;1272,4;s;1
165276;1274,6;s;1
165435;1279,1;l;1
165276;1280,9;s;0
165435;1290,3;s;1
165276;1306,3;l;0
165276;1313;l;1
165435;1313,4;s;1
165435;1314,5;l;1
165435;1317,6;s;1
165435;1332,1;l;1
165276;1344,5;l;0
165435;1345,9;s;1
165435;1346,6;l;1
165435;1357,5;s;1
165276;1357,8;l;1
165435;1359,2;s;1
165435;1370,4;s;1
165435;1371;s;1
165276;1373,8;s;0
165435;1384,1;l;1
165435;1390,4;s;1
165435;1393;l;0
165276;1395;s;0
165435;1402,6;l;1
165276;1429,2;l;1
165276;1431,6;s;0
165276;1436,7;s;1
165276;1445,5;s;1
165435;1450,1;s;1
165276;1450,4;s;0
165276;1452,1;l;1
165276;1462,1;s;0
165435;1462,7;l;1
165276;1479,9;s;1
165276;1484,6;l;1
165435;1488,1;l;1
165276;1488,8;s;1
165276;1499,3;s;1
165276;1503;l;1
165435;1507,9;s;0
165435;1517,8;s;0
165435;1536,8;s;1
165435;1557,6;s;1
165276;1560,4;l;1
165276;1561,6;l;1
165435;1561,8;l;1
165276;1562;s;1
165276;1572,3;s;1
165435;1595,4;s;1
165435;1605,8;s;0
165435;1620,5;s;1
165435;1621,4;s;1
165276;1650,4;s;1
165276;1680,5;s;0
165276;1680,9;s;1
165435;1741,5;l;0
165276;1745,2;s;0
165276;1748,5;l;0
165435;1751,8;l;0
165276;1755,5;l;0
165276;1768,2;l;1
165276;1770,2;l;1
165435;1780,1;l;1
165276;1804,8;s;1
165276;1807;l;0
165435;1840,4;l;1
165276;1916,2;l;1
165276;1937,8;l;1
165276;1938,1;l;0
165435;1968,1;s;1
165276;1987,8;s;1
165276;1989,1;s;0
